news,label,date
"이더리움 유동성 스테이킹 토큰(LST) 기반 스테이블코인 프로토콜 프리즈마 파이낸스(PRISM)를 해킹해 약 1,160만 달러 규모의 암호화폐를 탈취한 해커가 온체인 메모를 통해 ""프리즈마 팀의 성의 없는 대처에 실망했다""고 지적했다. 이와 관련 그는 ""팀은 탈취금 반환 관련 협상에서 진전성을 보이지 않았다. 메시지에 일찍 답장도 없었고 요점에 대한 해명도 없었다. 해당 기간 기다려준 나와 사용자에게 감사 표시도 없었고, 사과를 하거나 해결책을 제시하지도 않았다. 또 프리즈마 팀이 사고를 설명하며 '익스플로잇'이나 '공격'이라는 단어를 사용한 것도 의문이다. 나는 팀이 배포한 스마트 컨트랙트의 취약점을 찾아냈고 누구나 할 수 있는 방법으로 문제점을 제기한 화이트햇""이라고 강조했다. 또 그는 ""프리즈마 팀이 정말 좋은 사람들인지 확인해야겠다. 프리즈마 팀은 온라인 컨퍼런스를 열어 신원인증(KYC) 절차와 같이 모든 팀원의 신분증과 얼굴을 공개하고, 사용자, 투자자, 그리고 나에게 사과와 감사의 말을 전해야 한다. 당신들이 한 실수, 스마트 컨트랙트를 감사한 당사자, 향후 보안 개선 계획 등을 구체적으로 명시해야 한다. 또 12시간 내에 비난의 소지가 있는 '익스플로잇', '공격'을 해명문에서 수정해야 한다. 당신들은 나 같은 화이트햇에게 탓을 돌리기 보다 신중하지 못했던 컨트랙트 배포를 반성해야 한다. 이번 주 내에 사건이 해결되길 바란다. 온라인 컨퍼런스가 끝나고 나의 요구 조건이 수용되면 반환할 금액에 대한 협상을 진행할 것이다. 탈취금 중 대다수는 반환될 것이니 안심하길 바란다""고 덧붙였다.",-1,2024.04.17
"크립토슬램에 따르면, 지난 7일 이더리움(ETH) 기반 NFT 거래량이 전주 대비 26.41% 감소한 7,323만 달러를 기록했다. 비트코인 기반 NFT 주간 거래량은 전주 대비 4.41% 감소한 8,243만 달러, 솔라나(SOL) 기반 NFT 거래량은 전주 대비 약 12.39% 감소한 4,672만 달러를 나타냈다.",-1,2024.04.17
디파이라마 데이터에 따르면 이더리움 리스테이킹 프로토콜 렌조(Renzo)의 TVL이 지난 7일 52.22% 증가했다. 약 19.63억 달러를 나타내고 있다.,1,2024.04.17
"솔라나의 네이티브 SOL 코인은 지난 24시간 동안 7%가량 급등하며 200달러에 근접했다.이더리움(ETH)의 강력한 경쟁자인 SOL 코인은 30일(한국시간) 오후 3시 33분 현재 코인마켓캡 기준으로 198.70달러에 거래되고 있다. 이는 24시간 전 대비 6.61%, 일주일 전보다 14.33% 각각 상승한 가격이다. 현재 SOL코인 가격은 2021년 11월 7일에 기록한 260.06달러의 사상최고가 대비 23.55% 떨어진 상태이다.약 245만 명의 구독자를 보유한 유명 유튜브 채널 코인뷰로(Coin Bureau)의 호스트인 가이 터너(Guy Turner)는 최신 영상에서 SOL이 300달러를 돌파할 가능성이 35%~45%에 달할 수 있다고 말했다.터너의 낙관적인 전망은 2024년 초까지 주간 및 월간 차트를 기반으로 한다. 터너에 따르면 SOL은 두 기간 모두에서 '엄청나게 강세'(incredibly bullish)를 보이고 있으며 300달러에서 강한 저항에 직면하고 있다.또한 터너는 비트코인(BTC) 반감기가 다가오고 있으며, 시장은 이 이벤트가 비트코인을 새로운 차원으로 끌어올릴 것으로 기대하고 있다고 강조했다.한편 글래스노드(Glassnode) 공동 창립자 잰 하펠(Jan Happel)과 얀 알레만(Yann Allemann)은 최근 공동 X(구 트위터) 계정을 통해 “솔라나가 지난해 말 반등하기 시작하면서 솔라나와 이더리움의 시가총액 모두 상승세를 이어가고 있다”면서, “당분간 솔라나 가치 상승률이 이더리움(ETH) 가치 상승률보다 더 높을 것으로 보인다”라고 예상했다.",1,2024.04.17
"이더리움(ETH) 인프라 개발사 컨센시스(consensys)가 공식 블로그를 통해 ""ETH 현물 ETF 승인에 대해 미국 증권거래위원회(SEC)에 의견서를 제출했다""며 관련 내용을 공유했다. 컨센시스는 ""이더리움 합의 알고리즘 지분증명(PoS)의 잠재적 사기 및 조작에 대한 SEC의 우려에 반대한다. ETH의 PoS 매커니즘은 이미 SEC의 거래 승인을 받은 비트코인(BTC)의 작업 증명 네트워크(PoW)의 보안 보다 우수하다.  ETH는 △블록 완결성(Finality) △탈중앙화 밸리데이션 프로세스 △해킹 시 사용되는 (해커의)비용 △프로토콜 규칙 위반 밸리데이터에 대한 강도 높은 처벌 등 부문에서도 이점이 크다""고 강조했다.",0,2024.04.17
"암호화폐 결제 솔루션 메탈(MTL)이 X를 통해 ""메탈 레이어2(Metal L2)가 공식 출시됐다""고 전했다. 메탈 L2는 옵티미즘 스택을 기반으로 개발된 이더리움 L2 확장 솔루션이다.",1,2024.04.17
"샘 올트먼 오픈AI 최고경영자(CEO)의 암호화폐 월드코인(WLD)에 대해 칠레 당국이 개인정보 침해 우려를 경고하고 나섰다.29일(현지시간) 칠레 일간지 라테르세라에 따르면 칠레 소비자원(SERNAC)은 홍채 인식 기반 가상화폐인 월드코인에 지금까지 칠레 인구 1%에 달하는 20만명이 가입한 사실을 확인했다.월드코인은 올트먼이 공동창업자로 있는 업체가 개발한 홍채 인식 기반 암호화폐다.인공지능(AI)이 발전하는 상황에서 인간과 기계를 구분하기 위해 홍채 정보를 이용하겠다는 게 개발 취지다.월드코인은 홍채 인식 기구(스캐너)를 통해 개인의 홍채를 자료화해 블록체인에 연결한 뒤 ID를 만들면 그 대가로 코인을 제공하는 식으로 작동한다.개인이 홍채 정보를 제공하면 9만 칠레 페소(12만3천원 상당)에 해당하는 코인을 받을 수 있다.일간 라테르세라는 ""코인을 받기 위해 사람들이 이른 아침부터 업체 사무실 앞에 줄을 서는 진풍경도 벌어졌다""며 ""25∼35세 젊은이가 대부분""이라고 보도했다.칠레 소비자원은 월드코인 사용자들의 개별적인 판단에 의문을 제기할 이유는 없다며, ""월드코인의 개인정보 보호 기준 준수 여부를 면밀히 살피겠다""고 밝혔다.안드레스 에레라 칠레 소비자원장은 ""사용자들이 자신의 데이터가 어떻게 사용되는지 충분히 알고 자신의 정보가 안전하게 보호될 것이라는 확고한 보장을 받기를 바란다""며 ""특히 개인정보 보호의 의미를 충분히 인식하지 못할 수 있는 청소년의 경우 더 엄격히 모니터할 것""이라고 강조했다.월드코인에 대한 개인정보 침해 우려는 전 세계 관계 당국의 주요 관심사 중 하나다.현재 케냐와 스페인, 한국 등에서 월드코인 관련 개인정보보호 문제에 대한 제재 및 조사가 진행 중에 있다.포르투갈 데이터 규제 당국도 월드코인의 생체 인식 데이터 수집을 90일 동안 중단하라고 명령했다. 포르투갈의 데이터 규제 당국인 CNPD는 ""시민의 데이터 보호에 대한 위험이 높으며 심각한 피해를 방지하기 위해 긴급 개입이 필요하다""고 설명했다. 한편 비탈릭 부테린 이더리움 창시자는 X를 통해 ""월드코인은 개인정보보호에 대한 비판을 진지하게 받아들이고 시스템상 데이터를 점점 최소화하도록 설계하는 일을 꽤 잘해오고 있다. 현대 암호학은 정말 놀랍다""며 포르투갈의 월드코인 데이터 수집 중단 명령 기사 트윗에 댓글을 달았다.",-1,2024.04.17
"세계 최대 암호화폐 비트코인(BTC) 가격이 3월 한달 동안 15%가량 상승한 가운데, 반감기에 따른 4월 강세장 기대감도 커지고 있다.이와 관련해 암호화폐 리서치 업체 10X리서치는 29일(현지시간) 공식 X(구 트위터)를 통해 ""4월은 비트코인이 상대적으로 강세를 보이는 달이다. 비트코인은 최근 10년 중 6년 간 4월에 플러스 상승률을 기록했으며, 평균 상승률은 12%에 달했다. 비트코인은 일반적으로 1분기에는 약세를 보이고 4분기에 강세를 보이는 경향이 있다""며 낙관론을 폈다.반면  싱가포르 소재 암호화폐 거래 업체 QCP캐피털은 ""1분기 비트코인 가격이 65% 상승하면서 2분기 상승률은 제한적일 수 있다""며 낙관론을 경계했다.암호화폐 전문매체 코인텔레그래프에 따르면 QCP캐피털은 ""2분기에는 비트코인 현물 ETF로 인한 매수세 지속, 반감기, 런던 증권거래소 암호화폐 ETN 상장, 이더리움(ETH) 현물 ETF 승인 가능성 등 상승 재료가 충분히 존재한다. 하지만 1분기 큰 폭의 상승률 때문에 상승폭이 제한적일 수 있다""고 설명했다.한편 암호화폐 전문매체 크립토포테이토에 따르면 유명 암호화폐 애널리스트이자 암호화폐 마켓 분석 업체 인투더크립토버스의 설립자인 벤자민 코웬(Benjamin Cowen)은 ""미국 연방준비제도(연준, Fed)의 금리 인하로 비트코인 가격 정점이 이전보다 훨씬 빨리 올 수 있다""며 낙관론에 힘을 보탰다.그는 ""연준의 금리 인하 이후 시장이 조정을 받으면 비트코인은 2025년에 사이클 피크를 찍을 것으로 보인다. 그러나 조정이 발생하지 않는다면 올해 4분기에 피크를 찍을 것""이라고 예상했다.특히 모건크릭캐피털매니지먼트(Morgan Creek Capital Management)의 최고경영자(CEO) 마크 유스코(Mark Yusko)는 최근 CNBC 인터뷰에서 ""메트칼프의 법칙(Metcalfe's Law, 네트워크 참여자 수가 많아질수록 네트워크 가치가 기하급수적으로 증가한다는 이론)을 적용해보면 지난 반감기 때 비트코인 적정가치는 3만 달러였고, 그후 6만9천 달러까지 상승했었다. 현재 비트코인 적정가치는 5만 달러다. 이번에도 2~3배 정도 오를 수 있다고 본다. 그렇다면 15만 달러까지 도달 가능하다. 시기상으로 보면, 비트코인은 통상 반감기가 끝나고 약 9개월 뒤 기하급수적으로 상승하기 시작한다. 연말 즈음 최고가에 도달할 가능성이 있다""고 내다봤다.글로벌 암호화폐 시세 중계사이트 코인마켓캡에 따르면 29일(한국시간) 오후 10시 55분 현재 비트코인 가격은 70,558달러를 기록 중이다. 비트코인은 지난 14일 73,750.07달러의 사상최고가를 기록한 바 있다.",1,2024.04.17
"캐시 우드 아크 인베스트먼트 최고경영자(CEO)가 블록웍스 공동설립자 제이슨 야노위츠(Jason Yanowitz) 팟캐스트에 출연해 ""아크인베스트-21쉐어스의 이더리움 현물 ETF의 5월 승인 가능성이 낮아지고 있다""고 밝혔다. 그는 ""미국 증권거래위원회(SEC)가 시간을 두고 승인 여부를 고민 중이라고 생각한다""고 부연했다. 반면 21쉐어스(21Shares) 공동 설립자 오필리아 스나이더(Ophelia Snyder)는 ""이더리움 ETF에 대한 서류와 비트코인 현물 ETF에 대한 서류 간 큰 차이가 없다. 매우 일관성 있는 내용이기 때문에 (SEC가) 살펴볼 내용이 적을 것이다. 따라서 5월 ETH 현물 ETF 승인에 비교적 긍정적이다""라고 전망했다.",0,2024.04.17
"P2E 게임 전용 이더리움(ETH) 사이드체인 로닌네트워크(RON)가 공식 블로그를 통해 노코드(no-code) 길드 및 커뮤니티 플랫폼 길드.xyz(Guild.xyz)에서 로닌 길드를 출범했다고 29일 밝혔다. 사용자는 로닌 길드에서 소셜 계정 및 암호화폐 월렛을 연동하고 자신의 커뮤니티를 관리, 커뮤니티 구성원에게 직접 보상을 지급할 수 있다는 설명이다.",0,2024.04.17
"인공지능(AI) 기반 탈중앙화 이메일 인프라 프로젝트 디메일(DMAIL)이 공식 블로그를 통해 이더리움 레이어2 사이드체인 네트워크 스케일(SKL)과 파트너십을 체결했다고 29일 밝혔다. 디메일은 이번 협업을 통해 스케일로부터 보조금을 지원받고, 온보딩 프로세스, 제로 가스, AI 기술과의 호환성 등 스케일의 자체 기술을 통합한다고 설명했다. 한편 디메일은 스케일로부터 받은 보조금의 구체적인 액수는 공개하지 않았다.",1,2024.04.17
"코인텔레그래프에 따르면, 탈중앙 예측시장 플랫폼 폴리마켓 사용자들은 이더리움 현물 ETF의 5월 승인 확률을 19%로 점치고 있는 것으로 나타났다. 미디어는 ""폴리마켓 내 ETH 현물 ETF 승인 여부를 놓고 총 240만 달러가 베팅됐으며, 81%는 5월 승인 가능성에 비관적이었다""고 설명했다. 앞서 21일 폴리마켓 트레이더들은 승인 확률을 24%로 예상한 바 있다.",0,2024.04.17
"비탈릭 부테린 이더리움(ETH) 창시자가 자신의 블로그를 통해 ""자선단체에 기부를 하거나 온체인 게임 개발을 위한 자금 조달 목적으로 발행한 밈코인은 바람직하다고 생각한다""고 말했다. 이와 관련 그는 ""이더리움 프로젝트가 공개 발표되기 2주 전인 10년 전 나는 코인 발행이 주요 공공 프로젝트의 자금 조달 수단이 될 수 있다고 말한 바 있다. 2024년 현재 밈코인은 업계의 주요 논제로 떠오르고 있다. 2015년 도지코인(DOGE)에서 시작된 밈코인에 대한 관심은 점점 뜨거워지고 있지만, 특별히 새롭다거나 흥미로운 것이 없기 때문에 많은 사람들이 우려를 표하고 있다. 심지어 솔라나(SOL) 기반 일부 밈코인들은 인종차별적 발언도 일삼고 있으며, 대다수 밈코인은 가격만 오르락내리락할 뿐 별다른 가치를 제공하고 있지 않다. 하지만 비영리 연구기관 0xPARC와 같이 자선단체 기부를 위한 밈코인이나 온체인 게임 제작을 위한 밈코인은 긍정적이라고 생각한다. 단순히 사용자 유치보다는 생태계와 세상을 이롭게 할 수 있는 재밌는 프로젝트가 많아졌으면 좋겠다. 나쁜 밈코인보다는 좋은 밈코인이, 내부자와 크리에이터 배만 불려주는 것이 아닌 공공재를 지원할 수 있는 밈코인이 많아졌으면 한다""고 설명했다.",0,2024.04.17
"팬시(fanC) 이동호 대표가 한국경제 TV에 블록체인 전문가로 출연해 ""미국 증권거래위원회(SEC)의 이더리움 현물 ETF 승인 가능성이 높다""고 예측했다. 이동호 대표는 ""미국의 대선, 레거시 금융 업계의 ETF에 대한 입장 및 이더리움 증권성에 대한 시각 등이 승인에 영향을 미칠 것""이라고 언급했다. 한편, 팬시는 4월 11일 AMA 세션을 진행하며, 세션을 통해 소셜-AI(Social AI), SBT(Soul Bound Token), 거버넌스, 수익모델과 소각모델에 대해 상세히 설명한다는 입장이다.",0,2024.04.17
